District,Taluka,Region,Equipment,Rs/hr,Rs/day,images
Nanded,Kandhar,Marathwada,tractor,330,2300,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQGS3EdkbXE6m2lcEJGzMSc-inaDvUBdXsnBw&usqp=CAU
Amravati,Chikhaldara,Vidharbha,Tractor,300,2250,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQGS3EdkbXE6m2lcEJGzMSc-inaDvUBdXsnBw&usqp=CAU
Ratnagiri,Dapoli,Konkan,plough,142,655,https://www.patelagroindustries.com/public/images/blog/jt8wc33oxWhkXesZZkoblUlxItMlZmlnGKhQMe5b.png
Chandrapur,Rajura,Vidharbha,pickaxe,18,144,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ_LRYoi090IuNBYC5WUMYQcv8KMg1MROwZUQ&usqp=CAU
Dhule,Shirpur,Khandesh,sprayer,43,127,"https://m.media-amazon.com/images/I/71gWfs0OVmL._AC_UF1000,1000_QL80_.jpg"
Ratnagiri,Guhagar,Konkan,pickaxe,25,88,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ_LRYoi090IuNBYC5WUMYQcv8KMg1MROwZUQ&usqp=CAU
Jalgaon,Pachora,Khandesh,sprayer,35,130,"https://m.media-amazon.com/images/I/71gWfs0OVmL._AC_UF1000,1000_QL80_.jpg"
Pune,Baramati,WM,sickel,32,110,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Sickle33.jpg/220px-Sickle33.jpg
Satara,Phaltan,WM,tractor trolley,293.9,2248.28,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTHyRAyhtHFKD4SZgYdUvws_SzCHgPJp2WOFWqimYRB6vHZJc20RJPL13xg&s=10
Ahmednagar,Shrigonda,Khandesh,hoe,54,256,https://5.imimg.com/data5/SELLER/Default/2022/8/CJ/UN/LL/52580342/hand-hoe-500x500.jpeg
